Element,Raw turmeric (Table 3),DDI± (mg/d) [53,54],Branded turmeric (Table 4),DDI± (mg/d) [53,54],Safe limit by WHO/FAO
Ba (mg/kg),"4.8-10.6",0.013,"3.1-48.3",0.029,"0.5 mg/d b [48]"
Br (mg/kg),"2.2-13.3",0.012,"2.8-41.1",0.029,"4 mg/kg [48]"
Ca (wt%),"0.18-0.37",5.6,"0.27-0.38",6.6,"2500-3000 mg/d b [42]"
Co (mg/kg),"1.2-50",0.04,"0.6-5.1",0.0036,"2.3 mg/kg [47]"
Cr (mg/kg),"113-643",0.75,"315-540",0.81,"300 mg/kg [45]"
Fe (mg/kg),"3.63-3.90",74.8,"2.17-3.84",58.8,"2300-3100 mg/d b [43]"
K (wt%),"0.10-0.26",0.0003,"0.017-0.70",0.0005,NA
La (mg/kg),"255-480",0.79,"150-396",0.49,"1200-1500 mg/kg [44]"
Na (mg/kg),"4.6-47.5",0.03,"5.2-9.6",0.015,"200 mg/kg [48]"
Rb (mg/kg),"0.032-0.234",0.0002,"0.1-0.19",0.0003,NA
Sc (mg/kg),"0.020-0.059",0.00006,"0.025-0.082",0.00009,NA
Sm (mg/kg),"15-55",0.07,"7.1-43.3",0.05,"100 mg/kg [41]"
Zn (mg/kg),"15-55",0.07,"7.1-43.3",0.05,"100 mg/kg [41]"
